user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.54,0.28,0.06,0
8,0.4,0.46,0.01,0
8,0.4,0.46,0.01,0
8,0.4,0.46,0.01,0
8,0.33,0.41,0.01,0
8,0.33,0.41,0.01,0
8,0.33,0.41,0.01,0
8,0.53,0.36,0.01,0
8,0.53,0.36,0.01,0
8,0.53,0.36,0.01,0
8,0.53,0.36,0.01,0
8,0.53,0.47,0.02,0
8,0.53,0.47,0.02,0
8,0.53,0.47,0.02,0
8,0.28,0.45,0.01,0
8,0.28,0.45,0.01,0
8,0.28,0.45,0.01,0
8,0.37,0.35,0.02,0
8,0.37,0.35,0.02,0
8,0.37,0.35,0.02,0
8,0.56,0.35,0.03,0
8,0.56,0.35,0.03,0
8,0.56,0.35,0.03,0
8,0.44,0.53,0.01,0
8,0.44,0.53,0.01,0
8,0.44,0.53,0.01,0
8,0.15,0.5,0.03,0
8,0.15,0.5,0.03,0
8,0.15,0.5,0.03,0
8,0.29,0.39,0.01,0
8,0.32,0.4,0.74,2
8,0.32,0.4,0.74,2
8,0.32,0.4,0.74,2
8,0.61,0.87,0.96,2
8,0.61,0.87,0.96,2
8,0.61,0.87,0.96,2
8,0.61,0.87,0.96,2
8,0.44,0.46,0.57,2
8,0.44,0.46,0.57,2
8,0.44,0.46,0.57,2
8,0.71,0.49,0.54,2
8,0.71,0.49,0.54,2
8,0.71,0.49,0.54,2
8,0.71,0.49,0.54,2
8,0.71,0.49,0.54,2
8,0.59,0.57,0.94,2
8,0.59,0.57,0.94,2
8,0.59,0.57,0.94,2
8,0.59,0.57,0.94,2
8,0.63,0.77,0.48,2
8,0.63,0.77,0.48,2
8,0.63,0.77,0.48,2
8,0.56,0.8,0.4,2
8,0.56,0.8,0.4,2
8,0.56,0.8,0.4,2
8,0.55,0.66,0.55,2
8,0.55,0.66,0.55,2
8,0.55,0.66,0.55,2
8,0.53,0.61,0.55,2
8,0.53,0.61,0.55,2
8,0.53,0.61,0.55,2
8,0.64,0.76,0.42,2
8,0.64,0.76,0.42,2
8,0.64,0.76,0.42,2
8,0.59,0.65,0.73,2
8,0.59,0.65,0.73,2
8,0.59,0.65,0.73,2
8,0.62,0.65,0.8,2
8,0.62,0.65,0.8,2
8,0.62,0.65,0.8,2
8,0.65,0.62,0.67,2
8,0.65,0.62,0.67,2
8,0.65,0.62,0.67,2
8,0.52,0.54,0.58,2
8,0.52,0.54,0.58,2
8,0.52,0.54,0.58,2
8,0.68,0.64,0.64,2
8,0.68,0.64,0.64,2
8,0.68,0.64,0.64,2
8,0.59,0.96,0.78,2
8,0.59,0.96,0.78,2
8,0.59,0.96,0.78,2
8,0.57,0.6,0.52,2
8,0.57,0.6,0.52,2
8,0.57,0.6,0.52,2
8,0.67,0.61,0.55,2
8,0.67,0.61,0.55,2
8,0.67,0.61,0.55,2
8,0.69,0.75,0.59,2
8,0.69,0.75,0.59,2
8,0.92,0.81,0.04,1
8,0.92,0.81,0.04,1
8,0.9,0.71,0.07,1
8,0.9,0.71,0.07,1
8,0.9,0.71,0.07,1
8,0.9,0.71,0.07,1
8,0.31,0.56,0.05,1
8,0.31,0.56,0.05,1
8,0.31,0.56,0.05,1
8,0.31,0.56,0.05,1
8,0.46,0.35,0.01,1
8,0.46,0.35,0.01,1
8,0.46,0.35,0.01,1
8,0.97,0.38,0.01,1
8,0.97,0.38,0.01,1
8,0.97,0.38,0.01,1
8,0.51,0.4,0.01,1
8,0.51,0.4,0.01,1
8,0.51,0.4,0.01,1
8,0.4,0.56,0.01,1
8,0.4,0.56,0.01,1
8,0.4,0.56,0.01,1
8,0.65,0.57,0,1
8,0.65,0.57,0,1
8,0.65,0.57,0,1
8,0.6,0.8,0.01,1
8,0.6,0.8,0.01,1
8,0.6,0.8,0.01,1
8,0.9,0.93,0.01,1
8,0.9,0.93,0.01,1
8,0.9,0.93,0.01,1
8,0.96,0.86,0.01,1
8,0.96,0.86,0.01,1
8,0.96,0.86,0.01,1
8,0.88,0.78,0.01,1
8,0.88,0.78,0.01,1
8,0.88,0.78,0.01,1
8,0.9,0.88,0.01,1
8,0.9,0.88,0.01,1
8,0.9,0.88,0.01,1
8,0.99,0.88,0.01,1
8,0.99,0.88,0.01,1
8,0.99,0.88,0.01,1
8,0.97,0.88,0.01,1
8,0.97,0.88,0.01,1
8,0.97,0.88,0.01,1
8,0.99,0.91,0.01,1
8,0.99,0.91,0.01,1
8,0.99,0.91,0.01,1
8,0.89,0.94,0.01,1
8,0.89,0.94,0.01,1
8,0.89,0.94,0.01,1
8,0.99,0.85,0.01,1
8,0.99,0.85,0.01,1
8,0.99,0.85,0.01,1
8,0.86,0.99,0.01,1
8,0.86,0.99,0.01,1
8,0.86,0.99,0.01,1
8,0.85,0.99,0.01,1
8,0.85,0.99,0.01,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.43,0.44,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.38,0.54,0,1
9,0.99,0.99,0,1
9,0.99,0.99,0,1
9,0.99,0.99,0,1
9,0.99,0.99,0,1
9,0.99,0.99,0,1
9,0.99,0.99,0,1
9,0.99,0.86,0,1
9,0.99,0.86,0,1
9,0.99,0.86,0,1
9,0.99,0.86,0,1
9,0.99,0.98,0.01,1
9,0.99,0.98,0.01,1
9,0.99,0.98,0.01,1
9,0.99,0.99,0.02,1
9,0.99,0.99,0.02,1
9,0.99,0.99,0.02,1
9,0.99,0.99,0.02,1
9,0.99,0.99,0.24,1
9,0.99,0.99,0.24,1
9,0.99,0.99,0.24,1
9,0.99,0.99,0.02,1
9,0.99,0.99,0.02,1
9,0.99,0.99,0.02,1
9,0.99,0.99,0.02,1
9,1,0.99,0.04,1
9,1,0.99,0.04,1
9,1,0.99,0.04,1
9,0.99,0.92,0.02,1
9,0.99,0.92,0.02,1
9,0.99,0.92,0.02,1
9,0.99,0.92,0.02,1
9,0.99,0.93,0.06,1
9,0.99,0.93,0.06,1
9,0.99,0.99,0,0
9,0.99,0.99,0,0
9,0.99,0.99,0,0
9,0.99,0.99,0,0
9,0.99,0.99,0,0
9,0.99,0.99,0,0
9,0.99,0.99,0,0
9,0.99,0.99,0,0
9,0.99,0.99,0.07,0
9,0.99,0.99,0.07,0
9,0.99,0.99,0.07,0
9,0.99,0.99,0.07,0
9,0.02,0.07,0.01,0
9,0.02,0.07,0.01,0
9,0.02,0.07,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.95,0.01,0
9,0.99,0.95,0.01,0
9,0.99,0.95,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.03,0
9,0.99,0.99,0.03,0
9,0.99,0.99,0.03,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.97,0.01,0
9,0.99,0.97,0.01,0
9,0.99,0.97,0.01,0
9,0.99,0.97,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,0.99,0.99,0.01,0
9,1,0.99,0.16,0
9,1,0.99,0.16,0
9,1,0.99,0.16,0
9,1,0.99,0.01,0
9,1,0.99,0.01,0
9,1,0.99,0.01,0
9,1,0.99,0.01,0
9,1,0.99,0.01,0
9,1,0.99,0.01,0
9,1,0.99,0.01,0
9,0.99,0.99,0,2
9,0.52,0.85,0.25,2
9,0.52,0.85,0.25,2
9,0.52,0.85,0.25,2
9,0.52,0.85,0.25,2
9,0.52,0.85,0.25,2
9,0.52,0.85,0.25,2
9,0.73,0.99,0.13,2
9,0.73,0.99,0.13,2
9,0.73,0.99,0.13,2
9,0.73,0.99,0.13,2
9,0.68,0.89,0.32,2
9,0.68,0.89,0.32,2
9,0.68,0.89,0.32,2
9,0.15,0.39,0.19,2
9,0.15,0.39,0.19,2
9,0.15,0.39,0.19,2
9,0.53,0.71,0.48,2
9,0.53,0.71,0.48,2
9,0.53,0.71,0.48,2
9,0.53,0.71,0.48,2
9,0.73,0.89,0.74,2
9,0.73,0.89,0.74,2
9,0.73,0.89,0.74,2
9,0.73,0.89,0.74,2
9,0.73,0.89,0.74,2
9,0.73,0.89,0.74,2
9,0.5,0.68,0.96,2
9,0.5,0.68,0.96,2
9,0.5,0.68,0.96,2
9,0.55,0.32,0.97,2
9,0.55,0.32,0.97,2
9,0.55,0.32,0.97,2
9,0.77,0.83,0.97,2
9,0.77,0.83,0.97,2
9,0.77,0.83,0.97,2
9,0.29,0.3,0.96,2
9,0.29,0.3,0.96,2
9,0.29,0.3,0.96,2
9,0.13,0.31,0.96,2
9,0.13,0.31,0.96,2
9,0.13,0.31,0.96,2
9,0.13,0.31,0.96,2
9,0.13,0.31,0.96,2
9,0.71,0.75,0.96,2
9,0.71,0.75,0.96,2
9,0.71,0.75,0.96,2
9,0.74,0.69,0.96,2
9,0.74,0.69,0.96,2
9,0.74,0.69,0.96,2
9,0.67,0.76,0.96,2
9,0.67,0.76,0.96,2
9,0.67,0.76,0.96,2
9,0.72,0.83,0.97,2
9,0.72,0.83,0.97,2
9,0.72,0.83,0.97,2
9,0.58,0.71,0.98,2
9,0.58,0.71,0.98,2
9,0.58,0.71,0.98,2
9,0.44,0.67,0.97,2
9,0.24,0.41,0,0
9,0.52,0.91,0,0
9,0.52,0.91,0,0
9,0.52,0.91,0,0
9,0.52,0.91,0,0
9,0.52,0.91,0,0
9,0.52,0.91,0,0
9,1,1,0,0
9,0.29,0.6,0.01,0
9,0.29,0.6,0.01,0
9,0.29,0.6,0.01,0
9,0.29,0.6,0.01,0
9,0.29,0.6,0.01,0
9,0.29,0.6,0.01,0
9,0.02,0.02,0.01,0
9,0.02,0.02,0.01,0
9,0.02,0.02,0.01,0
9,0.02,0.02,0.01,0
9,0.02,0.02,0.01,0
9,0.68,0.59,0.01,0
9,0.68,0.59,0.01,0
9,0.68,0.59,0.01,0
9,0.46,0.64,0.01,0
9,0.46,0.64,0.01,0
9,0.46,0.64,0.01,0
9,0.79,0.45,0.01,0
9,0.79,0.45,0.01,0
9,0.79,0.45,0.01,0
9,0.79,0.7,0.01,0
9,0.79,0.7,0.01,0
9,0.79,0.7,0.01,0
9,0.75,0.75,0.01,0
9,0.75,0.75,0.01,0
9,0.75,0.75,0.01,0
9,0.69,0.61,0.01,0
9,0.69,0.61,0.01,0
9,0.69,0.61,0.01,0
9,0.78,0.92,0.01,0
9,0.78,0.92,0.01,0
9,0.78,0.92,0.01,0
9,0.78,0.92,0.01,0
9,0.86,0.69,0.01,0
9,0.86,0.69,0.01,0
9,0.86,0.69,0.01,0
9,0.77,0.74,0.01,0
9,0.77,0.74,0.01,0
9,0.77,0.74,0.01,0
9,0.83,0.68,0.01,0
9,0.83,0.68,0.01,0
9,0.83,0.68,0.01,0
9,0.82,0.8,0.01,0
9,0.82,0.8,0.01,0
9,0.82,0.8,0.01,0
9,0.8,0.86,0.01,0
9,0.8,0.86,0.01,0
9,0.8,0.86,0.01,0
9,0.79,0.94,0.01,0
9,0.79,0.94,0.01,0
9,0.79,0.94,0.01,0
9,0.87,0.68,0.01,0
9,0.41,0.42,0,1
9,0.29,0.68,0.01,1
9,0.29,0.68,0.01,1
9,0.29,0.68,0.01,1
9,0.29,0.68,0.01,1
9,0.29,0.68,0.01,1
9,0.29,0.68,0.01,1
9,0.29,0.68,0.01,1
9,0.4,0.8,0.01,1
9,0.4,0.8,0.01,1
9,0.4,0.8,0.01,1
9,0.4,0.8,0.01,1
9,0.81,0.88,0.01,1
9,0.81,0.88,0.01,1
9,0.81,0.88,0.01,1
9,0.99,0.95,0.01,1
9,0.99,0.95,0.01,1
9,0.99,0.95,0.01,1
9,0.2,0.29,0.01,1
9,0.2,0.29,0.01,1
9,0.2,0.29,0.01,1
9,0.2,0.29,0.01,1
9,0.99,0.77,0.01,1
9,0.99,0.77,0.01,1
9,0.99,0.77,0.01,1
9,0.99,0.92,0.01,1
9,0.99,0.92,0.01,1
9,0.99,0.92,0.01,1
9,0.99,0.97,0.01,1
9,0.99,0.97,0.01,1
9,0.99,0.97,0.01,1
9,0.99,0.99,0.01,1
9,0.99,0.99,0.01,1
9,0.99,0.99,0.01,1
9,0.99,0.95,0.01,1
9,0.99,0.95,0.01,1
9,0.99,0.95,0.01,1
9,0.99,0.99,0.01,1
9,0.99,0.99,0.01,1
9,0.99,0.99,0.01,1
9,0.99,0.96,0.01,1
9,0.99,0.96,0.01,1
9,0.99,0.96,0.01,1
9,0.99,0.96,0.01,1
9,0.99,0.99,0.01,1
9,0.99,0.99,0.01,1
9,0.99,0.99,0.01,1
9,0.99,0.99,0.01,1
9,0.99,0.99,0.01,1
9,0.99,0.99,0.01,1
9,0.65,0.38,0.01,1
9,0.65,0.38,0.01,1
9,0.65,0.38,0.01,1
9,0.86,0.76,0.01,1
9,0.86,0.76,0.01,1
9,0.86,0.76,0.01,1
9,0.97,0.99,0.01,1
9,0.97,0.99,0.01,1
9,0.97,0.99,0.01,1
9,0.99,0.89,0.01,1
9,0.21,0.2,0,2
9,0.07,0.22,0.01,2
9,0.07,0.22,0.01,2
9,0.07,0.22,0.01,2
9,0.07,0.22,0.01,2
9,0.07,0.22,0.01,2
9,0.07,0.22,0.01,2
9,0.07,0.22,0.01,2
9,0.63,0.6,0.07,2
9,0.63,0.6,0.07,2
9,0.63,0.6,0.07,2
9,0.63,0.6,0.07,2
9,0.99,0.91,0.14,2
9,0.99,0.91,0.14,2
9,0.99,0.91,0.14,2
9,0.99,0.72,0.38,2
9,0.99,0.72,0.38,2
9,0.99,0.72,0.38,2
9,0.96,0.99,0,2
9,0.96,0.99,0,2
9,0.96,0.99,0,2
9,0.96,0.99,0,2
9,0.96,0.99,0,2
9,0.96,0.99,0,2
9,0.96,0.99,0,2
9,0.46,0.74,0.17,2
9,0.46,0.74,0.17,2
9,0.46,0.74,0.17,2
9,0.46,0.74,0.17,2
9,0.46,0.74,0.17,2
9,0.46,0.74,0.17,2
9,0.28,0.55,0.54,2
9,0.28,0.55,0.54,2
9,0.28,0.55,0.54,2
9,0.37,0.37,0.96,2
9,0.37,0.37,0.96,2
9,0.37,0.37,0.96,2
9,0.09,0.42,0.3,2
9,0.09,0.42,0.3,2
9,0.09,0.42,0.3,2
9,0.09,0.42,0.3,2
9,0.09,0.42,0.3,2
9,0.42,0.21,0.44,2
9,0.42,0.21,0.44,2
9,0.42,0.21,0.44,2
9,0.12,0.15,0.96,2
9,0.12,0.15,0.96,2
9,0.12,0.15,0.96,2
9,0.12,0.15,0.96,2
9,0.22,0.4,0.69,2
9,0.22,0.4,0.69,2
9,0.22,0.4,0.69,2
9,0.22,0.4,0.69,2
9,0.22,0.4,0.69,2
9,0.22,0.4,0.69,2
9,0.17,0.32,0.96,2
9,0.17,0.32,0.96,2
9,0.17,0.32,0.96,2
9,0.17,0.32,0.96,2
9,0.15,0.48,0.92,2
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.65,0.72,0.01,0
10,0.65,0.72,0.01,0
10,0.65,0.72,0.01,0
10,0.68,0.7,0.01,0
10,0.68,0.7,0.01,0
10,0.68,0.7,0.01,0
10,0.95,0.82,0.02,0
10,0.95,0.82,0.02,0
10,0.95,0.82,0.02,0
10,0.81,0.85,0.01,0
10,0.81,0.85,0.01,0
10,0.81,0.85,0.01,0
10,1,0.99,0.01,0
10,0.99,0.99,0,2
10,0.99,0.99,0,2
10,0.99,0.99,0,2
10,0.99,0.92,0.01,2
10,0.99,0.92,0.01,2
10,0.99,0.92,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.97,2
10,0.99,0.99,0.97,2
10,0.99,0.99,0.97,2
10,0.99,0.99,0.96,2
10,0.99,0.99,0.96,2
10,0.99,0.99,0.96,2
10,0.99,0.99,0.96,2
10,0.99,0.99,0.96,2
10,0.99,0.99,0.96,2
10,0.99,0.95,0.97,2
10,0.99,0.95,0.97,2
10,0.99,0.95,0.97,2
10,0.98,0.99,0.68,2
10,0.98,0.99,0.68,2
10,0.98,0.99,0.68,2
10,0.98,0.99,0.68,2
10,0.99,0.99,0.66,2
10,0.99,0.99,0.66,2
10,0.99,0.99,0.66,2
10,0.99,0.99,0.95,2
10,0.99,0.99,0.95,2
10,0.99,0.99,0.95,2
10,0.99,0.93,0.86,2
10,0.99,0.93,0.86,2
10,0.99,0.93,0.86,2
10,0.99,0.99,0.63,2
10,0.99,0.99,0.63,2
10,0.99,0.99,0.63,2
10,0.99,0.99,0.53,2
10,0.99,0.99,0.53,2
10,0.99,0.99,0.53,2
10,0.99,0.99,0.53,2
10,0.99,0.99,0.97,2
10,0.99,0.99,0.97,2
10,0.99,0.99,0.97,2
10,0.99,0.99,0.96,2
10,0.99,0.99,0.96,2
10,0.99,0.99,0.96,2
10,0.99,0.99,0.97,2
10,0.99,0.99,0.97,2
10,0.99,0.99,0.97,2
10,0.99,0.99,0.97,2
10,0.99,0.98,0.18,2
10,0.99,0.98,0.18,2
10,0.99,0.98,0.18,2
10,0.99,0.99,0.01,1
10,0.98,0.93,0.01,1
10,0.98,0.93,0.01,1
10,0.98,0.93,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.98,0.01,1
10,0.99,0.98,0.01,1
10,0.99,0.98,0.01,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.68,0.91,0,1
10,0.68,0.91,0,1
10,0.68,0.91,0,1
10,0.68,0.91,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.35,2
10,0.99,0.99,0.35,2
10,0.99,0.99,0.35,2
10,0.99,0.99,0.35,2
10,0.85,0.99,0.3,2
10,0.85,0.99,0.3,2
10,0.85,0.99,0.3,2
10,0.99,0.99,0.31,2
10,0.99,0.99,0.31,2
10,0.99,0.99,0.31,2
10,0.99,0.99,0.21,2
10,0.99,0.99,0.21,2
10,0.99,0.99,0.21,2
10,0.99,0.99,0.24,2
10,0.99,0.99,0.24,2
10,0.99,0.99,0.24,2
10,0.99,0.99,0.36,2
10,0.99,0.99,0.36,2
10,0.99,0.99,0.36,2
10,0.99,0.91,0.33,2
10,0.99,0.91,0.33,2
10,0.99,0.91,0.33,2
10,0.99,0.99,0.4,2
10,0.99,0.99,0.4,2
10,0.99,0.99,0.4,2
10,0.99,0.97,0.34,2
10,0.99,0.97,0.34,2
10,0.99,0.97,0.34,2
10,0.99,0.97,0.34,2
10,0.03,0.02,0.06,2
10,0.03,0.02,0.06,2
10,0.03,0.02,0.06,2
10,0.03,0.02,0.06,2
10,0.99,0.98,0.01,2
10,0.99,0.98,0.01,2
10,0.99,0.98,0.01,2
10,0.99,0.99,0.07,2
10,0.99,0.99,0.07,2
10,0.99,0.99,0.07,2
10,0.99,0.99,0.07,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.99,0.99,0.01,2
10,0.88,0.98,0.01,2
10,0.24,0.99,0.01,1
10,0.24,0.99,0.01,1
10,0.36,0.75,0.01,1
10,0.36,0.75,0.01,1
10,0.36,0.75,0.01,1
10,0.91,0.67,0,1
10,0.91,0.67,0,1
10,0.91,0.67,0,1
10,0.93,0.97,0,1
10,0.93,0.97,0,1
10,0.93,0.97,0,1
10,0.94,0.94,0.04,1
10,0.94,0.94,0.04,1
10,0.94,0.94,0.04,1
10,0.94,0.94,0.04,1
10,0.89,0.99,0.01,1
10,0.89,0.99,0.01,1
10,0.89,0.99,0.01,1
10,0.98,0.99,0,1
10,0.98,0.99,0,1
10,0.98,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.97,0.99,0,1
10,0.97,0.99,0,1
10,0.97,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.95,0.99,0,1
10,0.95,0.99,0,1
10,0.95,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.9,0.99,0.01,1
10,0.9,0.99,0.01,1
10,0.9,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.99,0.99,0.01,1
10,0.9,0.99,0.01,1
10,0.9,0.99,0.01,1
10,0.9,0.99,0.01,1
10,0.93,0.99,0,1
10,0.93,0.99,0,1
10,0.93,0.99,0,1
10,0.98,0.99,0.01,1
10,0.98,0.99,0.01,1
10,0.98,0.99,0.01,1
10,0.98,0.99,0,0
10,0.98,0.99,0,0
10,0.98,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.62,0.99,0,0
10,0.62,0.99,0,0
10,0.62,0.99,0,0
10,0.99,0.97,0.01,0
10,0.99,0.97,0.01,0
10,0.99,0.97,0.01,0
10,0.02,0.58,0,0
10,0.02,0.58,0,0
10,0.02,0.58,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.89,0.01,0
10,0.99,0.89,0.01,0
10,0.99,0.89,0.01,0
10,0.93,0.86,0.01,0
10,0.93,0.86,0.01,0
10,0.93,0.86,0.01,0
10,0.99,0.96,0,0
10,0.99,0.96,0,0
10,0.99,0.96,0,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.9,0.01,0
10,0.99,0.9,0.01,0
10,0.99,0.9,0.01,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.89,0,0
10,0.99,0.89,0,0
10,0.99,0.89,0,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
10,0.99,0.99,0.01,0
11,0.83,0.93,0,1
11,0.83,0.93,0,1
11,0.83,0.93,0,1
11,0.83,0.98,0,1
11,0.83,0.98,0,1
11,0.83,0.98,0,1
11,0.96,0.92,0,1
11,0.96,0.92,0,1
11,0.96,0.92,0,1
11,0.96,0.92,0,1
11,0.99,0.84,0.05,1
11,0.99,0.84,0.05,1
11,0.99,0.84,0.05,1
11,0.53,0.81,0.07,1
11,0.53,0.81,0.07,1
11,0.53,0.81,0.07,1
11,0.71,0.98,0,1
11,0.71,0.98,0,1
11,0.71,0.98,0,1
11,0.66,0.95,0,1
11,0.66,0.95,0,1
11,0.66,0.95,0,1
11,0.66,0.95,0,1
